model_name,prediction,confidence,xai_method,explanation,explanation_text,max_importance,uncertainty_level,visualization_path,created_at
MultiScale_ResNet,tachycardia,0.92,grad_cam,"{""grad_cam_heatmap"": [0.2825, 0.1939, 0.0737, 0.0446, 0.2142, 0.1977, 0.0623, 0.0178, 0.2853, 0.1955, 0.1535, 0.0568, 0.2252, 0.2102, 0.2538, 0.2812, 0.2075, 0.1485, 0.1253, 0.2432, 0.195, 0.2085, 0.2899, 0.1685, 0.1117, 0.0306, 0.1809, 0.2216, 0.1906, 0.2834, 0.2989, 0.0292, 0.105, 0.1182, 0.2147, 0.2332, 0.0871, 0.1144, 0.0547, 0.2492, 0.1261, 0.2469, 0.1718, 0.1443, 0.2921, 0.0365, 0.2212, 0.1067, 0.1173, 0.0734]}","CNN identified abnormal waveform morphology around signal regions 225, 250, 364, 473 contributing strongly to tachycardia prediction.",0.9624,,output/xai/gradcam_multiscale_resnet_tachycardia.png,
MultiScale_ResNet,tachycardia,0.92,grad_cam,"{""grad_cam_heatmap"": [0.0821, 0.2464, 0.2021, 0.1773, 0.1762, 0.1596, 0.1353, 0.003, 0.0234, 0.2207, 0.2583, 0.1001, 0.0128, 0.1183, 0.2038, 0.0961, 0.1283, 0.0184, 0.2968, 0.0318, 0.0143, 0.258, 0.2436, 0.1057, 0.2381, 0.0184, 0.0865, 0.0676, 0.1758, 0.0589, 0.2705, 0.0213, 0.2745, 0.1846, 0.1389, 0.2482, 0.2565, 0.0629, 0.216, 0.0032, 0.2711, 0.138, 0.2434, 0.1654, 0.1937, 0.0053, 0.2045, 0.0604, 0.0917, 0.0747]}","CNN identified abnormal waveform morphology around signal regions 83, 215, 292, 416, 434 contributing strongly to tachycardia prediction.",0.9224,,output/xai/gradcam_multiscale_resnet_tachycardia.png,
MultiScale_ResNet,normal_sinus,0.87,grad_cam,"{""grad_cam_heatmap"": [0.2039, 0.2255, 0.17, 0.2079, 0.2094, 0.242, 0.2429, 0.0023, 0.012, 0.2652, 0.1673, 0.2902, 0.0686, 0.0418, 0.0872, 0.0585, 0.0707, 0.0509, 0.0136, 0.0287, 0.1439, 0.1925, 0.2474, 0.062, 0.0644, 0.0155, 0.1737, 0.0203, 0.0073, 0.0956, 0.2327, 0.0972, 0.2204, 0.4832, 0.3799, 0.945, 0.5472, 0.3998, 0.1315, 0.1826, 0.2153, 0.261, 0.045, 0.1774, 0.0414, 0.2701, 0.2093, 0.1231, 0.0875, 0.181]}","CNN identified abnormal waveform morphology around signal regions 35, 183, 195, 424, 447 contributing strongly to normal_sinus prediction.",0.9922,,output/xai/gradcam_multiscale_resnet_normal_sinus.png,
MultiScale_ResNet,bradycardia,0.78,grad_cam,"{""grad_cam_heatmap"": [0.2494, 0.204, 0.2244, 0.1137, 0.2797, 0.1952, 0.096, 0.0023, 0.0248, 0.0875, 0.0947, 0.0865, 0.1293, 0.1014, 0.1328, 0.0205, 0.1801, 0.2715, 0.2374, 0.1045, 0.0503, 0.0661, 0.1507, 0.2073, 0.2539, 0.0203, 0.0821, 0.2962, 0.0035, 0.235, 0.1403, 0.2677, 0.1617, 0.2243, 0.1449, 0.2307, 0.0978, 0.1241, 0.1348, 0.2082, 0.0235, 0.0196, 0.1068, 0.1822, 0.2005, 0.0597, 0.1531, 0.2728, 0.1142, 0.1003]}","CNN identified abnormal waveform morphology around signal regions 54, 133, 276 contributing strongly to bradycardia prediction.",0.8547,,output/xai/gradcam_multiscale_resnet_bradycardia.png,
BiGRU_Temporal_Attention,tachycardia,0.95,attention_map,"{""attention_weights"": {""head_0"": [0.1612, 0.1009, 0.1773, 0.0197, 0.2742, 0.1005, 0.1071, 0.0591], ""head_1"": [0.0055, 0.218, 0.1961, 0.2065, 0.1948, 0.0132, 0.049, 0.1169], ""head_2"": [0.1492, 0.2059, 0.0505, 0.1944, 0.0489, 0.179, 0.1589, 0.0132], ""head_3"": [0.0963, 0.0649, 0.2309, 0.2023, 0.172, 0.0718, 0.1399, 0.022]}, ""avg_attention"": [0.1031, 0.1474, 0.1637, 0.1557, 0.1725, 0.0911, 0.1137, 0.0528]}","BiGRU focused primarily on beats 2, 3, and others, indicating irregular temporal heartbeat dynamics.",0.2742,,output/xai/attention_bigru_temporal_attention_tachycardia.png,
CardioFormer,normal_sinus,0.93,attention_map,"{""attention_weights"": {""head_0"": [0.1285, 0.0199, 0.2519, 0.0357, 0.1786, 0.2017, 0.0252, 0.1586], ""head_1"": [0.2405, 0.165, 0.0048, 0.0647, 0.1506, 0.1304, 0.0644, 0.1797], ""head_2"": [0.1253, 0.1936, 0.128, 0.016, 0.1883, 0.075, 0.1346, 0.1393], ""head_3"": [0.2574, 0.2318, 0.0244, 0.0395, 0.0469, 0.2299, 0.1392, 0.0308]}, ""avg_attention"": [0.1879, 0.1526, 0.1023, 0.039, 0.1411, 0.1593, 0.0909, 0.1271]}",Transformer attention detected long-range rhythm dependencies suggesting cardiac irregularity.,0.2574,,output/xai/attention_cardioformer_normal_sinus.png,
CardioFormer,PVC,0.84,attention_map,"{""attention_weights"": {""head_0"": [0.1398, 0.1378, 0.023, 0.1821, 0.129, 0.1873, 0.0751, 0.1259], ""head_1"": [0.1145, 0.1215, 0.1607, 0.183, 0.1026, 0.1441, 0.0657, 0.1079], ""head_2"": [0.144, 0.0488, 0.1226, 0.0159, 0.1559, 0.245, 0.0279, 0.2398], ""head_3"": [0.0248, 0.1195, 0.1681, 0.2362, 0.0611, 0.0632, 0.1008, 0.2263]}, ""avg_attention"": [0.1058, 0.1069, 0.1186, 0.1543, 0.1121, 0.1599, 0.0674, 0.175]}",Transformer attention detected long-range rhythm dependencies suggesting cardiac irregularity.,0.245,,output/xai/attention_cardioformer_PVC.png,
Ensemble_BayesianFusion,tachycardia,0.91,ensemble_uncertainty,"{""model_agreements"": {""ResNet"": ""tachycardia"", ""BiGRU"": ""tachycardia"", ""CardioFormer"": ""tachycardia""}, ""std_dev"": 0.034, ""consensus"": true}",All submodels agreed on tachycardia prediction with strong confidence across the ensemble.,0.97,,output/xai/ensemble_consensus_001.png,
MultiScale_ResNet,tachycardia,0.92,grad_cam,"{""grad_cam_heatmap"": [0.2941, 0.0651, 0.0359, 0.065, 0.1309, 0.0571, 0.1776, 0.1613, 0.1664, 0.1665, 0.1897, 0.0685, 0.2876, 0.1128, 0.2625, 0.0454, 0.2963, 0.0161, 0.1404, 0.0416, 0.0734, 0.1111, 0.0359, 0.1567, 0.0863, 0.0294, 0.2285, 0.3696, 0.4046, 0.7907, 0.3386, 0.4876, 0.1518, 0.1608, 0.2126, 0.2949, 0.0019, 0.1613, 0.2271, 0.076, 0.0106, 0.0906, 0.029, 0.1299, 0.0874, 0.1113, 0.0761, 0.0121, 0.1481, 0.265]}","CNN identified abnormal waveform morphology around signal regions 29, 69, 326, 442 contributing strongly to tachycardia prediction.",0.9477,,output/xai/gradcam_multiscale_resnet_tachycardia.png,
MultiScale_ResNet,normal_sinus,0.87,grad_cam,"{""grad_cam_heatmap"": [0.2129, 0.0748, 0.155, 0.0054, 0.0592, 0.0692, 0.1969, 0.0347, 0.1499, 0.201, 0.2266, 0.2372, 0.0766, 0.1834, 0.2071, 0.2181, 0.2854, 0.1415, 0.0659, 0.28, 0.0169, 0.2853, 0.084, 0.0487, 0.2732, 0.2594, 0.2707, 0.2067, 0.2921, 0.2272, 0.0064, 0.1734, 0.2726, 0.1863, 0.2615, 0.2133, 0.0799, 0.006, 0.1265, 0.1586, 0.0515, 0.0389, 0.0916, 0.2649, 0.1152, 0.0216, 0.1708, 0.1099, 0.0752, 0.0131]}","CNN identified abnormal waveform morphology around signal regions 208, 225, 358 contributing strongly to normal_sinus prediction.",0.9181,,output/xai/gradcam_multiscale_resnet_normal_sinus.png,
MultiScale_ResNet,bradycardia,0.78,grad_cam,"{""grad_cam_heatmap"": [0.2042, 0.1781, 0.144, 0.2529, 0.0613, 0.2826, 0.2967, 0.0879, 0.2636, 0.0691, 0.186, 0.2382, 0.2116, 0.1223, 0.2015, 0.0201, 0.0434, 0.2984, 0.2289, 0.0822, 0.1525, 0.046, 0.2574, 0.1865, 0.2858, 0.1662, 0.1605, 0.03, 0.1249, 0.145, 0.1534, 0.1418, 0.0023, 0.2538, 0.0166, 0.0213, 0.2193, 0.2971, 0.2243, 0.1966, 0.0903, 0.0303, 0.1352, 0.1181, 0.0107, 0.1871, 0.1466, 0.0537, 0.2656, 0.1578]}","CNN identified abnormal waveform morphology around signal regions 220, 231, 249 contributing strongly to bradycardia prediction.",0.9423,,output/xai/gradcam_multiscale_resnet_bradycardia.png,
BiGRU_Temporal_Attention,tachycardia,0.95,attention_map,"{""attention_weights"": {""head_0"": [0.1676, 0.0557, 0.2393, 0.1904, 0.0068, 0.1623, 0.0807, 0.0972], ""head_1"": [0.0602, 0.1591, 0.1634, 0.0354, 0.0652, 0.1654, 0.1131, 0.2381], ""head_2"": [0.0846, 0.1638, 0.1007, 0.0834, 0.0398, 0.0271, 0.2706, 0.23], ""head_3"": [0.0098, 0.1784, 0.1458, 0.1409, 0.0331, 0.2283, 0.074, 0.1898]}, ""avg_attention"": [0.0805, 0.1392, 0.1623, 0.1125, 0.0362, 0.1458, 0.1346, 0.1888]}","BiGRU focused primarily on beats 2, 5, and others, indicating irregular temporal heartbeat dynamics.",0.2706,,output/xai/attention_bigru_temporal_attention_tachycardia.png,
CardioFormer,normal_sinus,0.93,attention_map,"{""attention_weights"": {""head_0"": [0.0356, 0.1048, 0.1801, 0.1056, 0.1399, 0.156, 0.0812, 0.1969], ""head_1"": [0.1359, 0.25, 0.0506, 0.2836, 0.0672, 0.0532, 0.0708, 0.0888], ""head_2"": [0.3289, 0.0872, 0.0927, 0.0022, 0.2164, 0.2259, 0.0024, 0.0442], ""head_3"": [0.0908, 0.0996, 0.0309, 0.0331, 0.4868, 0.0029, 0.2479, 0.0079]}, ""avg_attention"": [0.1478, 0.1354, 0.0886, 0.1061, 0.2276, 0.1095, 0.1006, 0.0844]}",Transformer attention detected long-range rhythm dependencies suggesting cardiac irregularity.,0.4868,,output/xai/attention_cardioformer_normal_sinus.png,
CardioFormer,PVC,0.84,attention_map,"{""attention_weights"": {""head_0"": [0.1167, 0.1048, 0.0195, 0.0761, 0.2439, 0.1877, 0.2184, 0.0329], ""head_1"": [0.0229, 0.0781, 0.3354, 0.123, 0.0818, 0.0282, 0.1393, 0.1912], ""head_2"": [0.1744, 0.1979, 0.0488, 0.1992, 0.0645, 0.0352, 0.0932, 0.1868], ""head_3"": [0.1465, 0.0036, 0.1093, 0.2088, 0.0026, 0.2382, 0.029, 0.262]}, ""avg_attention"": [0.1151, 0.0961, 0.1283, 0.1518, 0.0982, 0.1223, 0.12, 0.1682]}",Transformer attention detected long-range rhythm dependencies suggesting cardiac irregularity.,0.3354,,output/xai/attention_cardioformer_PVC.png,
Ensemble_BayesianFusion,tachycardia,0.91,ensemble_uncertainty,"{""model_agreements"": {""ResNet"": ""tachycardia"", ""BiGRU"": ""tachycardia"", ""CardioFormer"": ""tachycardia""}, ""std_dev"": 0.034, ""consensus"": true}",All submodels agreed on tachycardia prediction with strong confidence across the ensemble.,0.97,,output/xai/ensemble_consensus_001.png,
MultiScale_ResNet,tachycardia,0.92,grad_cam,"{""grad_cam_heatmap"": [0.0461, 0.0525, 0.2545, 0.1894, 0.2059, 0.1741, 0.2041, 0.2585, 0.0966, 0.0792, 0.1114, 0.1253, 0.2631, 0.1493, 0.2752, 0.1478, 0.0701, 0.2357, 0.2638, 0.0311, 0.0201, 0.0526, 0.257, 0.2685, 0.0366, 0.1186, 0.2804, 0.0937, 0.1112, 0.0582, 0.0426, 0.2766, 0.1653, 0.2105, 0.2333, 0.6246, 0.4681, 0.7809, 0.4492, 0.3428, 0.0014, 0.1826, 0.1968, 0.2784, 0.2354, 0.5225, 0.3737, 0.7477, 0.5691, 0.4535]}","CNN identified abnormal waveform morphology around signal regions 37, 47, 253, 316, 432 contributing strongly to tachycardia prediction.",0.9907,,output/xai/gradcam_multiscale_resnet_tachycardia.png,
MultiScale_ResNet,normal_sinus,0.87,grad_cam,"{""grad_cam_heatmap"": [0.2733, 0.2266, 0.1988, 0.1349, 0.2168, 0.1243, 0.095, 0.2148, 0.1585, 0.0128, 0.1974, 0.155, 0.0166, 0.1544, 0.0921, 0.0131, 0.0016, 0.049, 0.1252, 0.2775, 0.2106, 0.0314, 0.0902, 0.296, 0.247, 0.2632, 0.202, 0.025, 0.0959, 0.032, 0.0381, 0.0493, 0.0776, 0.0312, 0.1544, 0.0586, 0.1406, 0.2808, 0.1574, 0.2183, 0.1295, 0.0607, 0.2878, 0.2854, 0.1125, 0.2993, 0.1684, 0.1032, 0.1311, 0.109]}","CNN identified abnormal waveform morphology around signal regions 110, 409, 462 contributing strongly to normal_sinus prediction.",0.9497,,output/xai/gradcam_multiscale_resnet_normal_sinus.png,
MultiScale_ResNet,bradycardia,0.78,grad_cam,"{""grad_cam_heatmap"": [0.0441, 0.0334, 0.0861, 0.0981, 0.2034, 0.2934, 0.2314, 0.2157, 0.2465, 0.0436, 0.1875, 0.0265, 0.2343, 0.0389, 0.2242, 0.0673, 0.1201, 0.2266, 0.0332, 0.2855, 0.2419, 0.0486, 0.1631, 0.0045, 0.2897, 0.2686, 0.0865, 0.1234, 0.2103, 0.1648, 0.0155, 0.0802, 0.1778, 0.0005, 0.0637, 0.1886, 0.0962, 0.2891, 0.036, 0.1522, 0.0392, 0.2588, 0.0087, 0.1198, 0.0993, 0.1761, 0.0808, 0.2889, 0.2897, 0.2981]}","CNN identified abnormal waveform morphology around signal regions 62, 223, 359, 424, 428 contributing strongly to bradycardia prediction.",0.9581,,output/xai/gradcam_multiscale_resnet_bradycardia.png,
BiGRU_Temporal_Attention,tachycardia,0.95,attention_map,"{""attention_weights"": {""head_0"": [0.1495, 0.0378, 0.2966, 0.1735, 0.0513, 0.1516, 0.0589, 0.0808], ""head_1"": [0.0029, 0.1769, 0.123, 0.1113, 0.1048, 0.2191, 0.0783, 0.1837], ""head_2"": [0.14, 0.1904, 0.1759, 0.051, 0.1423, 0.1926, 0.0361, 0.0717], ""head_3"": [0.2188, 0.0265, 0.1546, 0.1346, 0.1682, 0.1373, 0.0331, 0.1268]}, ""avg_attention"": [0.1278, 0.1079, 0.1875, 0.1176, 0.1167, 0.1752, 0.0516, 0.1157]}","BiGRU focused primarily on beats 0, 2, and others, indicating irregular temporal heartbeat dynamics.",0.2966,,output/xai/attention_bigru_temporal_attention_tachycardia.png,
CardioFormer,normal_sinus,0.93,attention_map,"{""attention_weights"": {""head_0"": [0.0903, 0.0298, 0.2633, 0.2171, 0.2234, 0.0277, 0.1389, 0.0096], ""head_1"": [0.2442, 0.0685, 0.1966, 0.0605, 0.1276, 0.0796, 0.1317, 0.0911], ""head_2"": [0.0021, 0.2125, 0.0893, 0.1357, 0.1483, 0.1821, 0.1261, 0.104], ""head_3"": [0.1706, 0.0262, 0.2027, 0.0335, 0.1731, 0.138, 0.0743, 0.1817]}, ""avg_attention"": [0.1268, 0.0843, 0.188, 0.1117, 0.1681, 0.1069, 0.1177, 0.0966]}",Transformer attention detected long-range rhythm dependencies suggesting cardiac irregularity.,0.2633,,output/xai/attention_cardioformer_normal_sinus.png,
CardioFormer,PVC,0.84,attention_map,"{""attention_weights"": {""head_0"": [0.1417, 0.1902, 0.0898, 0.1855, 0.0961, 0.2135, 0.0119, 0.0714], ""head_1"": [0.0857, 0.167, 0.0683, 0.2023, 0.1839, 0.097, 0.0829, 0.1129], ""head_2"": [0.0229, 0.0864, 0.2, 0.1163, 0.0741, 0.2038, 0.1428, 0.1536], ""head_3"": [0.2004, 0.0638, 0.1585, 0.1723, 0.034, 0.1404, 0.1619, 0.0688]}, ""avg_attention"": [0.1127, 0.1269, 0.1292, 0.1691, 0.097, 0.1637, 0.0999, 0.1017]}",Transformer attention detected long-range rhythm dependencies suggesting cardiac irregularity.,0.2135,,output/xai/attention_cardioformer_PVC.png,
Ensemble_BayesianFusion,tachycardia,0.91,ensemble_uncertainty,"{""model_agreements"": {""ResNet"": ""tachycardia"", ""BiGRU"": ""tachycardia"", ""CardioFormer"": ""tachycardia""}, ""std_dev"": 0.034, ""consensus"": true}",All submodels agreed on tachycardia prediction with strong confidence across the ensemble.,0.97,,output/xai/ensemble_consensus_001.png,
MultiScale_ResNet,3,0.9971503615379333,grad_cam,Grad-CAM analysis highlighting regions with importance > 70% of max.,CNN identified abnormal waveform morphology around signal regions 159–175 contributing strongly to 3 prediction.,0.9975050510371409,,../ai_training/output/xai/gradcam/cnn_gradcam_001.png,
BiGRU_Temporal_Attention,0,0.9997267127037048,attention_map,Temporal Attention analysis highlighting most attended beats.,"BiGRU focused primarily on beats 7, indicating irregular temporal heartbeat dynamics.",1.0,,../ai_training/output/xai/attention/gru_attention_001.png,
CardioFormer,0,0.9964503049850464,self_attention,Transformer Self-Attention heatmap showing inter-beat dependencies.,Transformer attention detected long-range rhythm dependencies suggesting cardiac irregularity.,0.9999999403953552,,../ai_training/output/xai/transformer/cardioformer_heatmap_001.png,
Ensemble_BayesianFusion,0,0.960440993309021,ensemble_uncertainty,"Ensemble composed of MultiScaleResNet, CardioFormer. Submodel predictions: [0, 0]. Submodel confidences: [0.924, 0.996]. Full agreement. Overall uncertainty level: 0.0255.",Ensemble XAI indicates strong confidence in the prediction.,,,,
